,Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
1,16/12/2006,17:25:00,5.360,0.436,233.630,23.000,0.000,1.000,16.0
2,16/12/2006,17:26:00,5.374,0.498,233.290,23.000,0.000,2.000,17.0
3,16/12/2006,17:27:00,5.388,0.502,233.740,23.000,0.000,1.000,17.0
11,16/12/2006,17:35:00,5.412,0.470,232.780,23.200,0.000,1.000,17.0
12,16/12/2006,17:36:00,5.224,0.478,232.990,22.400,0.000,1.000,16.0
13,16/12/2006,17:37:00,5.268,0.398,232.910,22.600,0.000,2.000,17.0
20,16/12/2006,17:44:00,5.894,0.000,232.690,25.400,0.000,0.000,16.0
21,16/12/2006,17:45:00,7.706,0.000,230.980,33.200,0.000,0.000,17.0
22,16/12/2006,17:46:00,7.026,0.000,232.210,30.600,0.000,0.000,16.0
23,16/12/2006,17:47:00,5.174,0.000,234.190,22.000,0.000,0.000,17.0
41,16/12/2006,18:05:00,6.052,0.192,232.930,26.200,0.000,37.000,17.0
42,16/12/2006,18:06:00,6.752,0.186,232.120,29.000,0.000,36.000,17.0
43,16/12/2006,18:07:00,6.474,0.144,231.850,27.800,0.000,37.000,16.0
44,16/12/2006,18:08:00,6.308,0.116,232.250,27.000,0.000,36.000,17.0
71,16/12/2006,18:35:00,6.072,0.000,232.480,26.400,0.000,27.000,17.0
461,17/12/2006,01:05:00,5.282,0.150,237.380,22.400,0.000,35.000,0.0
465,17/12/2006,01:09:00,5.242,0.178,239.490,21.800,0.000,37.000,0.0
469,17/12/2006,01:13:00,5.254,0.214,238.150,22.000,0.000,35.000,0.0
470,17/12/2006,01:14:00,5.246,0.230,237.910,22.000,0.000,36.000,0.0
471,17/12/2006,01:15:00,5.216,0.210,237.440,22.000,0.000,36.000,0.0
938,17/12/2006,09:02:00,5.908,0.134,237.900,25.400,0.000,38.000,0.0
939,17/12/2006,09:03:00,7.064,0.124,235.570,30.000,0.000,37.000,0.0
940,17/12/2006,09:04:00,6.926,0.118,235.350,29.400,0.000,37.000,0.0
941,17/12/2006,09:05:00,6.580,0.056,235.150,28.200,0.000,38.000,0.0
942,17/12/2006,09:06:00,6.050,0.000,235.220,26.200,0.000,37.000,0.0
943,17/12/2006,09:07:00,6.104,0.050,235.320,25.800,0.000,37.000,0.0
1031,17/12/2006,10:35:00,5.776,0.266,232.890,24.800,37.000,36.000,17.0
1032,17/12/2006,10:36:00,5.718,0.244,232.070,24.600,37.000,35.000,16.0
1033,17/12/2006,10:37:00,5.738,0.260,232.130,24.600,36.000,35.000,17.0
1034,17/12/2006,10:38:00,5.714,0.242,231.990,24.600,37.000,36.000,16.0
1035,17/12/2006,10:39:00,5.732,0.268,231.880,24.600,36.000,35.000,17.0
1036,17/12/2006,10:40:00,5.730,0.272,231.610,24.600,36.000,35.000,16.0
1037,17/12/2006,10:41:00,5.848,0.396,232.110,25.200,37.000,36.000,17.0
1038,17/12/2006,10:42:00,5.842,0.380,232.470,25.000,36.000,35.000,16.0
1039,17/12/2006,10:43:00,5.880,0.400,233.050,25.200,37.000,36.000,17.0
1040,17/12/2006,10:44:00,5.872,0.384,233.260,25.200,36.000,35.000,17.0
