,Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
6839,21/12/2006,11:23:00,?,?,?,?,?,?,
6840,21/12/2006,11:24:00,?,?,?,?,?,?,
19724,30/12/2006,10:08:00,?,?,?,?,?,?,
19725,30/12/2006,10:09:00,?,?,?,?,?,?,
41832,14/1/2007,18:36:00,?,?,?,?,?,?,
61909,28/1/2007,17:13:00,?,?,?,?,?,?,
98254,22/2/2007,22:58:00,?,?,?,?,?,?,
98255,22/2/2007,22:59:00,?,?,?,?,?,?,
142588,25/3/2007,17:52:00,?,?,?,?,?,?,
190497,28/4/2007,00:21:00,?,?,?,?,?,?,
190498,28/4/2007,00:22:00,?,?,?,?,?,?,
190499,28/4/2007,00:23:00,?,?,?,?,?,?,
190500,28/4/2007,00:24:00,?,?,?,?,?,?,
190501,28/4/2007,00:25:00,?,?,?,?,?,?,
190502,28/4/2007,00:26:00,?,?,?,?,?,?,
190503,28/4/2007,00:27:00,?,?,?,?,?,?,
190504,28/4/2007,00:28:00,?,?,?,?,?,?,
190505,28/4/2007,00:29:00,?,?,?,?,?,?,
190506,28/4/2007,00:30:00,?,?,?,?,?,?,
190507,28/4/2007,00:31:00,?,?,?,?,?,?,
190508,28/4/2007,00:32:00,?,?,?,?,?,?,
190509,28/4/2007,00:33:00,?,?,?,?,?,?,
190510,28/4/2007,00:34:00,?,?,?,?,?,?,
190511,28/4/2007,00:35:00,?,?,?,?,?,?,
190512,28/4/2007,00:36:00,?,?,?,?,?,?,
190513,28/4/2007,00:37:00,?,?,?,?,?,?,
190514,28/4/2007,00:38:00,?,?,?,?,?,?,
190515,28/4/2007,00:39:00,?,?,?,?,?,?,
190516,28/4/2007,00:40:00,?,?,?,?,?,?,
190517,28/4/2007,00:41:00,?,?,?,?,?,?,
190518,28/4/2007,00:42:00,?,?,?,?,?,?,
190519,28/4/2007,00:43:00,?,?,?,?,?,?,
190520,28/4/2007,00:44:00,?,?,?,?,?,?,
190521,28/4/2007,00:45:00,?,?,?,?,?,?,
190522,28/4/2007,00:46:00,?,?,?,?,?,?,
190523,28/4/2007,00:47:00,?,?,?,?,?,?,
190524,28/4/2007,00:48:00,?,?,?,?,?,?,
190525,28/4/2007,00:49:00,?,?,?,?,?,?,
190526,28/4/2007,00:50:00,?,?,?,?,?,?,
190527,28/4/2007,00:51:00,?,?,?,?,?,?,
190528,28/4/2007,00:52:00,?,?,?,?,?,?,
190529,28/4/2007,00:53:00,?,?,?,?,?,?,
190530,28/4/2007,00:54:00,?,?,?,?,?,?,
190531,28/4/2007,00:55:00,?,?,?,?,?,?,
190532,28/4/2007,00:56:00,?,?,?,?,?,?,
190533,28/4/2007,00:57:00,?,?,?,?,?,?,
190534,28/4/2007,00:58:00,?,?,?,?,?,?,
190535,28/4/2007,00:59:00,?,?,?,?,?,?,
190536,28/4/2007,01:00:00,?,?,?,?,?,?,
190537,28/4/2007,01:01:00,?,?,?,?,?,?,
190538,28/4/2007,01:02:00,?,?,?,?,?,?,
190539,28/4/2007,01:03:00,?,?,?,?,?,?,
